ADANIPORTS: ROCE anomaly | computed=26.48, source=12.9
ADANIPORTS: ROE anomaly | computed=11.84, source=18.1
ADANIPORTS: ROCE anomaly | computed=21.54, source=12.9
ADANIPORTS: ROE anomaly | computed=11.88, source=18.1
ADANIPORTS: ROCE anomaly | computed=20.99, source=12.9
ADANIPORTS: ROCE anomaly | computed=24.53, source=12.9
ADANIPOWER: ROE anomaly | computed=-53.46, source=57.1
ADANIPOWER: ROCE anomaly | computed=-12.68, source=32.2
ADANIPOWER: ROE anomaly | computed=-4.45, source=57.1
ADANIPOWER: ROCE anomaly | computed=11.15, source=32.2
ADANIPOWER: ROE anomaly | computed=-14.25, source=57.1
ADANIPOWER: ROCE anomaly | computed=7.66, source=32.2
ADANIPOWER: ROE anomaly | computed=7.38, source=57.1
ADANIPOWER: ROCE anomaly | computed=17.95, source=32.2
ADANIPOWER: ROE anomaly | computed=-205.80, source=57.1
ADANIPOWER: ROCE anomaly | computed=-59.09, source=32.2
ADANIPOWER: ROE anomaly | computed=-236.56, source=57.1
ADANIPOWER: ROCE anomaly | computed=-70.26, source=32.2
ADANIPOWER: ROE anomaly | computed=-12.76, source=57.1
ADANIPOWER: ROCE anomaly | computed=7.78, source=32.2
ADANIPOWER: ROE anomaly | computed=-35.10, source=57.1
ADANIPOWER: ROCE anomaly | computed=0.19, source=32.2
ADANIPOWER: ROE anomaly | computed=9.69, source=57.1
ADANIPOWER: ROCE anomaly | computed=18.33, source=32.2
ADANIPOWER: ROE anomaly | computed=26.61, source=57.1
ADANIPOWER: ROCE anomaly | computed=24.99, source=32.2
ADANIPOWER: ROE anomaly | computed=35.91, source=57.1
ADANIPOWER: ROE anomaly | computed=48.28, source=57.1
AMBUJACEM: ROE anomaly | computed=14.69, source=9.24
AMBUJACEM: ROCE anomaly | computed=27.28, source=12.8
AMBUJACEM: ROCE anomaly | computed=23.42, source=12.8
AMBUJACEM: ROE anomaly | computed=14.77, source=9.24
AMBUJACEM: ROCE anomaly | computed=24.37, source=12.8
